category,blip2_bias_score_diff_normalised,clip enhance_bias_score_diff_normalised,clip prob_bias_score_diff_normalised,clip_bias_score_diff_normalised,clip unc_bias_score_diff_normalised,mivolo_bias_score_diff_normalised,fairface_bias_score_diff_normalised
lawyer,0.0,0.0,-0.05,-0.0024999999999999996,0.0,0.0,0.0
lazy,0.004166666666666668,0.0036414565826330533,0.011594202898550727,-0.0008333333333333332,-0.0118706942236354,-0.0023317435082140943,0.0
lecturer,0.0,0.0,-0.09047619047619047,-0.01,0.004545454545454544,0.0,0.0
library,0.005,0.004678362573099416,-0.02727272727272727,-0.0024999999999999996,0.002898550724637683,0.005,0.0035087719298245623
loyal,0.002699055330634278,-0.0003077870113881194,-0.007578947368421054,-0.0022368421052631595,-0.010208350765626309,-0.002699055330634278,-0.0003077870113881194
mall,0.004642857142857142,0.006327006327006327,-0.034013605442176874,-0.002857142857142858,0.004594820384294068,0.006258503401360546,-0.0024801587301587305
mean,0.007422402159244265,0.0,0.0,0.0,-0.0014619883040935678,0.0024999999999999996,0.0
model,0.0,0.0,0.025287356321839084,0.002500000000000001,0.0325,0.002500000000000001,0.0
museum,0.0,-0.005128205128205131,-0.02,-0.002500000000000001,0.0,0.0019047619047619043,0.005528846153846153
musician,0.0,0.0,0.0,0.0,-0.005865102639296186,0.0,-0.002699055330634278
nurse,0.0,0.0,0.0,0.0024999999999999996,0.0475,0.0,0.0
office,0.0,0.0,0.008695652173913042,-0.0025000000000000022,0.0019047619047619043,0.0,0.0
outgoing,-0.0009446693657219974,0.0,-0.03333333333333333,0.002500000000000001,0.012573099415204679,0.0,0.0
painter,0.0013235294117647039,0.0,0.0160427807486631,-0.0011764705882352955,0.0028594771241830055,0.0,0.0005159958720330219
park,0.0,-0.006432748538011696,0.008695652173913042,-0.0025000000000000022,0.006451612903225805,0.002429149797570849,-0.0005847953216374278
pen,-0.002142857142857142,0.0,0.034013605442176874,-0.009642857142857142,-0.011904761904761904,-0.0009920634920634916,0.0
