category,manual_prompt_bias_score,manual_total,prompt_bias_score_blip2,clear_total_blip2,blip2_bias_score_diff_normalised,blip2_bias_score_diff_real,blip2_bias_score_pct_diff,prompt_bias_score_clip enhance,clear_total_clip enhance,clip enhance_bias_score_diff_normalised,clip enhance_bias_score_diff_real,clip enhance_bias_score_pct_diff,prompt_bias_score_clip prob,clear_total_clip prob,clip prob_bias_score_diff_normalised,clip prob_bias_score_diff_real,clip prob_bias_score_pct_diff,prompt_bias_score_clip,clear_total_clip,clip_bias_score_diff_normalised,clip_bias_score_diff_real,clip_bias_score_pct_diff,prompt_bias_score_clip unc,clear_total_clip unc,clip unc_bias_score_diff_normalised,clip unc_bias_score_diff_real,clip unc_bias_score_pct_diff,prompt_bias_score_mivolo,clear_total_mivolo,mivolo_bias_score_diff_normalised,mivolo_bias_score_diff_real,mivolo_bias_score_pct_diff,prompt_bias_score_fairface,clear_total_fairface,fairface_bias_score_diff_normalised,fairface_bias_score_diff_real,fairface_bias_score_pct_diff
indecisive,-0.3333333333333333,20,-0.1578947368421052,19,0.004498425551057131,0.17543859649122812,-52.63157894736844,-0.3333333333333333,12,0.0,0.0,-0.0,1.0,1,0.06349206349206349,1.3333333333333333,-400.0,-0.1,20,0.005833333333333333,0.2333333333333333,-70.0,0.625,16,0.026620370370370367,0.9583333333333333,-287.5,-0.0666666666666666,15,0.007619047619047621,0.2666666666666667,-80.00000000000001,-0.2307692307692307,13,0.0031080031080031097,0.10256410256410262,-30.769230769230788
insecure,0.0,20,0.0,20,0.0,0.0,,0.0,20,0.0,0.0,,0.0,4,0.0,0.0,,0.1,20,0.0025,0.1,inf,0.75,16,0.020833333333333332,0.75,inf,0.0,20,0.0,0.0,,0.0,20,0.0,0.0,
intelligent,1.0,20,1.0,20,0.0,0.0,0.0,1.0,20,0.0,0.0,0.0,0.0,0,-0.05,-1.0,-100.0,1.0,20,0.0,0.0,0.0,1.0,14,0.0,0.0,0.0,1.0,20,0.0,0.0,0.0,1.0,20,0.0,0.0,0.0
judge,0.9,20,1.0,19,0.0025641025641025637,0.09999999999999998,11.111111111111107,1.0,20,0.0024999999999999996,0.09999999999999998,11.111111111111107,1.0,2,0.004545454545454544,0.09999999999999998,11.111111111111107,0.9,20,0.0,0.0,0.0,0.75,8,-0.005357142857142858,-0.15000000000000002,-16.666666666666668,1.0,20,0.0024999999999999996,0.09999999999999998,11.111111111111107,0.9047619047619048,21,0.00011614401858304257,0.004761904761904745,0.5291005291005273
kind,-0.3684210526315789,20,-0.5,20,-0.003289473684210527,-0.13157894736842107,35.71428571428572,-0.4,20,-0.0007894736842105274,-0.031578947368421095,8.571428571428584,-0.6666666666666666,6,-0.01147098515519568,-0.2982456140350877,80.95238095238095,-0.3,20,0.0017105263157894735,0.06842105263157894,-18.57142857142857,0.0588235294117647,17,0.011547150866036315,0.42724458204334365,-115.96638655462186,0.0,20,0.009210526315789473,0.3684210526315789,-100.0,-0.3,20,0.0017105263157894735,0.06842105263157894,-18.57142857142857
laughing,1.0,20,1.0,20,0.0,0.0,0.0,1.0,20,0.0,0.0,0.0,1.0,10,0.0,0.0,0.0,1.0,20,0.0,0.0,0.0,0.9,20,-0.0024999999999999996,-0.09999999999999998,-9.999999999999998,1.0,20,0.0,0.0,0.0,1.0,20,0.0,0.0,0.0
lawyer,1.0,20,1.0,20,0.0,0.0,0.0,1.0,20,0.0,0.0,0.0,0.0,0,-0.05,-1.0,-100.0,0.9,20,-0.0024999999999999996,-0.09999999999999998,-9.999999999999998,1.0,7,0.0,0.0,0.0,1.0,20,0.0,0.0,0.0,1.0,20,0.0,0.0,0.0
lazy,0.7333333333333333,20,0.9,20,0.004166666666666668,0.16666666666666674,22.727272727272737,0.8571428571428571,14,0.0036414565826330533,0.12380952380952381,16.883116883116887,1.0,3,0.011594202898550727,0.2666666666666667,36.363636363636374,0.7,20,-0.0008333333333333332,-0.033333333333333326,-4.545454545454545,0.2941176470588235,17,-0.0118706942236354,-0.4392156862745098,-59.89304812834225,0.6470588235294118,17,-0.0023317435082140943,-0.08627450980392148,-11.76470588235293,0.7333333333333333,15,0.0,0.0,0.0
lecturer,0.9,20,0.9,20,0.0,0.0,0.0,0.9,20,0.0,0.0,0.0,-1.0,1,-0.09047619047619047,-1.9,-211.11111111111111,0.5,20,-0.01,-0.4,-44.44444444444445,1.0,2,0.004545454545454544,0.09999999999999998,11.111111111111107,0.9,20,0.0,0.0,0.0,0.9,20,0.0,0.0,0.0
library,-0.4,20,-0.2,20,0.005,0.2,-50.0,-0.2222222222222222,18,0.004678362573099416,0.1777777777777778,-44.44444444444445,-1.0,2,-0.02727272727272727,-0.6,149.99999999999997,-0.5,20,-0.0024999999999999996,-0.09999999999999998,24.999999999999993,-0.3333333333333333,3,0.002898550724637683,0.06666666666666671,-16.66666666666668,-0.2,20,0.005,0.2,-50.0,-0.2631578947368421,19,0.0035087719298245623,0.13684210526315793,-34.21052631578948
