Category,cosine_sim_neutral_male,cosine_sim_neutral_female,difference,ratio
real_estate_agent,0.9206882805492449,0.8935718631308421,0.02711641741840276,1.0303460958622779
reliable,0.8924105162323857,0.8655420993993607,0.02686841683302499,1.0310422992153359
rich,0.8823461741514946,0.8539240467835401,0.028422127367954575,1.0332841398190058
rude,0.8993984036122091,0.8904807709646706,0.008917632647538531,1.0100144022625868
school_campus,0.860160636235209,0.8745642959967407,-0.014403659761531684,0.9835304735998674
scientist,0.9009305293357441,0.8697602599713911,0.031170269364353076,1.0358377713938993
selfish,0.9088438092862017,0.9010182840516665,0.007825525234535169,1.008685201369439
singer,0.8678851670560118,0.8857335914793282,-0.017848424423316356,0.9798489922985687
sitting,0.8748653642079179,0.8885397738378453,-0.013674409629927387,0.9846102447717519
software_developer,0.9361295647698135,0.8847414888826765,0.05138807588713701,1.0580825885672367
standing,0.8693009216366758,0.8716510155869259,-0.0023500939502500984,0.9973038591039011
stubborn,0.904059366861101,0.8929234238482999,0.011135943012801075,1.0124713303687427
suit,0.9235651059951538,0.8437254048425541,0.07983970115259975,1.0946275893725146
tactless,0.9072700610011322,0.8641591938322337,0.04311086716889845,1.049887645096637
taxi_driver,0.9411800517328501,0.8826747909757714,0.058505260757078736,1.0662817850415813
teacher,0.887821228019229,0.8857004380412415,0.0021207899779874806,1.0023944777341172
therapist,0.897405504087284,0.9203714849090279,-0.022965980821743837,0.9750470530668235
thinking,0.8943212319988745,0.8868439150933758,0.007477316905498688,1.008431378710775
tie,0.9282705420892994,0.8572449442425519,0.07102559784674745,1.0828533295224092
unreliable,0.9096658997216528,0.8879106497671874,0.021755249954465428,1.0245016206981747
writer,0.901605608210706,0.8751722626799092,0.026433345530796792,1.0302035915190615
writing,0.8893210715151598,0.8978567796896132,-0.008535708174453371,0.9904932408291174
