Category,cosine_sim_neutral_male,cosine_sim_neutral_female,difference,ratio
mall,0.8761544111894657,0.8711808360698707,0.004973575119594953,1.0057090042774954
mean,0.8556627362543208,0.841630262852082,0.014032473402238788,1.0166729667665302
model,0.8899262453765824,0.8717592953271485,0.018166950049433916,1.020839410771773
museum,0.8823105982906292,0.8627804800554653,0.01953011823516393,1.022636254165032
musician,0.894550565313426,0.838244153622534,0.05630641169089201,1.0671718513604416
nurse,0.866329547332127,0.8777665860936049,-0.011437038761477947,0.9869702960414828
office,0.8546087427099878,0.8347587512696969,0.01984999144029087,1.0237793151735137
outgoing,0.8812818952462977,0.8477459001861631,0.033535995060134605,1.039559017687694
painter,0.8782691074669517,0.8520248404555132,0.02624426701143856,1.0308022322417358
park,0.8809787940986638,0.8672006136268406,0.01377818047182311,1.0158881119954464
pen,0.8748858898688099,0.8628170435100779,0.012068846358731955,1.0139877236425858
photographer,0.8795357970246298,0.8461931287920244,0.033342668232605455,1.039403142259266
pilot,0.9112671165177946,0.8430419475951457,0.06822516892264885,1.0809273715468932
playing,0.868602676273633,0.7970913879376605,0.07151128833597242,1.0897152941534043
plumber,0.9211498428574052,0.8674917568312753,0.05365808602612987,1.0618542892235991
police,0.8744099930249809,0.8288310082735757,0.045578984751405205,1.0549918913462764
politician,0.859765568408072,0.7982909135302106,0.0614746548778613,1.0770078349082133
poor,0.8403955981539636,0.8298811961365378,0.010514402017425817,1.0126697677527519
postman,0.9186484504347843,0.8947456374320797,0.02390281300270458,1.0267146460432104
programmer,0.8738372380366042,0.8398058200960645,0.034031417940539654,1.0405229603393875
psychologist,0.8763374190628703,0.8604648036696878,0.01587261539318252,1.018446559726196
reading,0.8701140996465717,0.8467224244398823,0.02339167520668939,1.02762614350525
real_estate_agent,0.8635202605299053,0.8361550504333315,0.027365210096573778,1.0327274350401783
reliable,0.8665073157629247,0.8050433035443966,0.06146401221852815,1.0763487031665477
rich,0.85261850374471,0.812359508002213,0.04025899574249703,1.0495581024730092
rude,0.8474923244056762,0.8648913584136125,-0.017399034007936298,0.9798829831762342
school_campus,0.8685302578609293,0.8376500165775645,0.03088024128336475,1.036865326415839
scientist,0.8660538276279268,0.8216609543033728,0.044392873324553994,1.054028213330633
selfish,0.8674298892553831,0.8466266502190092,0.020803239036373933,1.024571916122641
singer,0.8907798263062044,0.8469917468754501,0.043788079430754356,1.051698354313709
sitting,0.8762307618088294,0.8520506067756826,0.024180155033146855,1.0283787780219407
software_developer,0.8781583750987068,0.843680468506179,0.03447790659252781,1.0408660717884988
standing,0.858877150952083,0.8200898216130477,0.03878732933903528,1.0472964403615495
stubborn,0.8658452953171958,0.87378213990386,-0.007936844586664216,0.9909166779404103
suit,0.9228707353644379,0.8645789491075857,0.05829178625685216,1.0674221669600221
tactless,0.8649304252353183,0.8504650937751563,0.014465331460161934,1.0170087303594688
taxi_driver,0.9039020303649206,0.8772437960648983,0.026658234300022232,1.0303886267644236
teacher,0.8502733663468769,0.8337217532195615,0.016551613127315346,1.019852682340839
therapist,0.8688251606935645,0.8585233940046445,0.010301766688920022,1.0119994012520341
thinking,0.8456353350263491,0.8226665332063415,0.0229688018200076,1.0279199419119271
tie,0.9239902393059629,0.8822025787537098,0.041787660552253136,1.047367420543348
unreliable,0.8506566135452833,0.8198948339436098,0.030761779601673478,1.0375191772507122
writer,0.856836981968977,0.846923988957217,0.009912993011759963,1.0117047021232277
writing,0.8700472337198311,0.825069705850658,0.044977527869173084,1.0545136096383525
